step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.0
80,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,17.0
81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,18.0
82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,19.0
83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0
84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,22.0
85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,24.0
86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,26.0
87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,28.0
88,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2,30.0
89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,32.0
90,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,34.0
91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,36.0
92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,38.0
93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0
94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,42.0
95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,44.0
96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,46.0
97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0
99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.0
100,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.0
101,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.0
103,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.0
104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0
105,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.0
106,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0
107,2,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.0
108,2,6.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.0
109,3,9.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.0
110,3,12.0,0,0.0,0,0.0,1,1.0,0,0.0,2,14.0
111,3,15.0,0,0.0,0,0.0,1,2.0,0,0.0,2,15.0
112,2,10.0,0,0.0,0,0.0,1,3.0,0,0.0,2,16.0
113,1,5.0,0,0.0,0,0.0,1,4.0,0,0.0,2,17.0
114,1,1.0,0,0.0,0,0.0,1,5.0,0,0.0,2,18.0
115,1,2.0,0,0.0,0,0.0,1,6.0,0,0.0,2,19.0
116,1,3.0,0,0.0,0,0.0,1,7.0,0,0.0,2,20.0
